data,dia_semana,nome_exchange,direcao,total_transacoes,volume_usd,preco_medio_usd,total_trades
2025-06-12,Quinta-feira,SpookySwap,SELL,2,14100.762618157827,1.0692079286843996,7
2025-06-12,Quinta-feira,SpookySwap,BUY,2,14100.762618157827,1.0692079286843996,7
2025-05-29,Quinta-feira,SpookySwap,SELL,7,75088.68685232691,325.1281521172924,95
2025-05-29,Quinta-feira,SpookySwap,BUY,7,75088.68685232691,325.1281521172924,95
2025-05-31,Sábado,SpookySwap,SELL,2,17882.723444320785,1032.1625057998294,11
2025-05-31,Sábado,SpookySwap,BUY,2,17882.723444320785,1032.1625057998294,11
2025-06-06,Sexta-feira,SpookySwap,BUY,3,47828.43758338256,697.5873545334471,32
2025-06-06,Sexta-feira,SpookySwap,SELL,3,47828.43758338256,697.5873545334471,32
2025-06-10,Terça-feira,SpookySwap,BUY,2,17883.777754030583,7.128600494537509,10
2025-06-10,Terça-feira,SpookySwap,SELL,2,17883.777754030583,7.128600494537509,10
2025-06-12,Quinta-feira,Bancor Network,SELL,12,317589.6439717446,12289.988298145172,124
2025-06-12,Quinta-feira,Bancor Network,BUY,12,317589.64397174463,12289.988298145168,124
2025-05-29,Quinta-feira,Bancor Network,BUY,20,832497.329162484,9750.225491619234,374
2025-05-29,Quinta-feira,Bancor Network,SELL,20,832497.3291624839,9750.225491619232,374
2025-05-31,Sábado,Bancor Network,BUY,9,205102.760383812,453.3018456214471,149
2025-05-31,Sábado,Bancor Network,SELL,9,205102.76038381198,453.3018456214471,149
2025-06-06,Sexta-feira,Bancor Network,BUY,5,144126.00823282197,34098.053157158356,78
2025-06-06,Sexta-feira,Bancor Network,SELL,5,144126.008232822,34098.05315715835,78
2025-06-10,Terça-feira,Bancor Network,SELL,7,119702.60110601397,23572.611068052523,52
2025-06-10,Terça-feira,Bancor Network,BUY,7,119702.60110601399,23572.61106805252,52
2025-06-12,Quinta-feira,1inch Liquidity Protocol,SELL,1,15832.530619767265,0.025241393974298334,14
2025-06-12,Quinta-feira,1inch Liquidity Protocol,BUY,1,15832.530619767265,0.025241393974298334,14
