fk_rede,rede,data,nome_dia,volume_total_usd,total_trades
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-06-12,Quinta-feira,239527516.9131124,236712
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-29,Quinta-feira,124887363.99870372,182762
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-05-31,Sábado,133281726.11625776,158584
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-06-06,Sexta-feira,31153602.38944046,892
50b9984bd9eb2b8837f97266b81ae2f8922a0272c40818dfabffdb6b66066a17,matic,2025-06-10,Terça-feira,84429119.66936524,24518
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-06-12,Quinta-feira,66698.01998512475,106
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-05-29,Quinta-feira,288683.0632643621,634
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-05-31,Sábado,208438.04590946814,288
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-06-06,Sexta-feira,121690.04162582052,104
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-06-10,Terça-feira,322549.97452085314,206
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-06-12,Quinta-feira,8.624664546171502E20,269881
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-29,Quinta-feira,5750324693.740098,276280
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-31,Sábado,3.206812046398674E20,242555
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-06-06,Sexta-feira,2.462614613582849E20,225804
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-06-10,Terça-feira,1.3293905998324657E20,222206
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-12,Quinta-feira,14420602.49070258,22329
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-05-29,Quinta-feira,319486.43826627574,1146
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-05-31,Sábado,545594.5977622131,1750
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-06,Sexta-feira,757984.4679606445,2576
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-10,Terça-feira,10867712.717564894,16400
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-06-12,Quinta-feira,1.3967574149769687E18,42328
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-29,Quinta-feira,1.05607668188319181E18,1066
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-31,Sábado,4.1501209661777299E17,21472
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-06-06,Sexta-feira,1.11010136168144272E17,1408
