nome_token,moeda,direcao,total_transacoes,volume_usd,preco_medio_usd
Wrapped SOL (Wormhole),SOL,BUY,70,42553830.121245585,0.06406912879553078
Morphware,XMW,SELL,36,3166513.3770324215,39244.59016814173
HOPR Token,HOPR,SELL,6,59865.98471867638,20.508951829298773
AlphaSwap,AlphaSwap,BUY,2,201814.57388536946,3.0233576711532744e-7
tao.bot,TAOBOT,BUY,25,971324.1995438123,0.00016975942469073783
Ixs Token,IXS,SELL,23,1015081.4902349145,12158.196937198129
Rocket Pool Protocol,RPL,SELL,16,1136449.1598438926,407.4914510427039
Strawberry In Bloom,BERRY,BUY,22,6565642.338709915,0.0000027686563829146323
Matt Furie's Rat,FOX,BUY,1,21175.05216764995,1.1818350175809863e-8
Heaven VRAI,HEAVEN,BUY,2,25842.083623488423,4.349544582013839e-11
Cultur,CULTUR,BUY,3,216998.7477147299,1.2706870604419204e-7
Micro GPT,$MICRO,BUY,8,121433.35659051138,0.0000011917075278722286
AMATERASU OMIKAMI,OMIKAMI,SELL,26,3314741.160212927,1777.3257999175357
Truebit,TRU,SELL,26,536337.9964255175,18839.613465361683
BTFD,$BTFD,SELL,2,98931.4343332831,158474161.94491217
Pingu,NOOT,BUY,2,164460.93589982702,1.2200632063399375e-8
Dragon,DRGN,SELL,9,136736.79785910365,38202.1487789288
Brett2.0,B2,SELL,1,5947.208230605305,62433.19605188764
BlockGuard,FUSIO,SELL,1,102110.94529479984,32657887824.518513
Trump Always Chickens Out,TACO,BUY,3,101885.61214012073,1.8900540648112743e-7
Cross The Ages,CTA,SELL,5,49229.34553332369,15878.343308545427
Morphware AI,Morph,BUY,5,1374183.7891470483,0.0000018798723401015934
X Dark Web,ELONION,BUY,1,17833.368488294676,1.959797390043622e-11
MyLovelyCoin,MLC,SELL,19,304313.7786280708,3.0489011936146153
VERA,VRA,BUY,31,1211258.2675796743,0.0004245201675544691
DEXTF Token,DEXTF,BUY,7,105544.1337869965,0.00006799939470199298
Amino,AMINO,BUY,5,69239.97121042236,5.94022449275656e-8
Uniswap (PoS),UNI,BUY,40,777284.9430531744,12.313179720020049
Eigen,EIGEN,SELL,39,13051509.735660769,1815.6867015088258
Empyreal,EMP,SELL,33,1874310.677115169,26.652531257616527
OpulousToken,OPUL,SELL,4,29427.26181116094,30.457585094586253
Verse,VERSE,SELL,4,33517.08329320024,31142581.49525106
Big Balls of Matt Furie,BIGBALLS,SELL,1,54748.511870744296,22654980.68691787
ETH REVIVAL,ER,BUY,1,33181.32319177222,2.0378893187110253e-9
MSTR,MSTR,BUY,16,4236918.970963153,0.0000016379589020066522
EAI,EAI,SELL,7,61853.43079190228,95309.73144099602
VANRY,VANRY,SELL,16,417448.1597798262,63189.68391894141
BabyZeus,BZeus,BUY,1,7173.0061146848775,3.1890170342645676e-8
ENTREPARTICULIERS,ALENT,BUY,3,174942.61373329302,3.867426404802644e-8
Goldfinch,GFI,BUY,5,44578.52020625435,0.0003135722406861726
PepeFork,PORK,BUY,6,55034.81338640066,0.09036613701013733
TOPIA,TOPIA,SELL,12,250072.82764207138,239650.97557480758
MEET48,IDOL,BUY,1,30339.729066991924,5.94064184347055e-11
ZKCrypt AI,ZKAI,SELL,1,11957.589345095852,21865.951076112502
Pocket Network,POKT,BUY,1,11878.951605165828,5.803301139244501e-12
BLOCKDAG,BDAG,BUY,1,8019.492855045079,1.2017003856118823e-11
Wrapped Ether (Wormhole),WETH,SELL,33,6024389.3602419235,0.9999552161072135
FARM Reward Token,FARM,BUY,5,86355.3488011887,27.81183307531818
LooksRare Token,LOOKS,BUY,1,5529.089692059347,0.0000048909968773977496
Dodo by Matt Furie,DODO,SELL,2,500769.6075950295,260984.83228781502
RICO,RICO,SELL,3,1491391.0435194797,4228324309.729071
RED GOGLZ,RGOGLZ,BUY,1,24170.215806298358,4.16215777175433e-7
Skate,SKATE,BUY,12,701374.9534989167,0.014941604815164376
Arbion AI,ARAI,BUY,2,22793.890051172,6.16618386922606e-7
KAGE NETWORK,KAGE,BUY,1,7876.469941336309,0.0000013127393776519227
Grim Creeper,CREEPER,BUY,1,6051.789822085268,9.370629754381756e-9
Cross The Ages,CTA,BUY,5,58424.20538519418,0.037313528760186905
Draggy,DRAGGY,SELL,3,426079.0430512522,1172461300321.9827
Truflation,TRUF,BUY,9,254223.57928509245,0.00001424819618374664
Fias,FIAS,SELL,3,28450.94295640965,137428.87814119874
Yee Token,Yee,BUY,18,1017037.8828897518,0.0000014433101616499152
bitsCrunch Token(PoS),BCUT,SELL,4,55481.46976200968,110628.55587298903
Moonkin,MOONKIN,SELL,22,1402647.8694131137,355602475.0633049
DJT4700 ,$DJT4700,SELL,3,159618.05374360707,9559055.424982632
d(ux)/dt,D(UX)/DT,SELL,1,12491.217912283486,20700217.81502641
dub,W,SELL,3,519680.8188173369,4185622.8762065205
Destruction Of Government Eternity,D.O.G.E,BUY,1,18779.87856082525,4.780233431809533e-9
ZynCoin,ZYN,SELL,7,127510.76577505568,273736.4571552519
COQINU,COQ,BUY,39,1686746.061738891,3.3572249830834734e-8
Akita Inu,AKITA,BUY,4,24168.715106298547,2.1669667515145703e-11
Pigness by ???? ?????,PIGNESS,BUY,1,5653.167978719902,3.0305168755523786e-9
NAILONG,NAI,SELL,1,7854.267627235432,4171948808.6668177
Peepo,PEEPO,BUY,3,132251.0932129621,7.670846364207411e-8
Iggy The Iguana,IGGY,SELL,6,1259594.3490877205,27666914.620169897
Department Of Government Efficiency,DOGE,BUY,39,5177905.701255414,0.000007820474750691343
Muhdo Hub,DNA,SELL,8,112365.6854507759,988972.7108795866
Wrapped DNX,0xDNX,SELL,3,33552.68860936001,55382.530552186654
Shill Guard Token,SGT,BUY,1,6252.715274247353,3.9728948477531516e-7
ETH Foundation Treasury Policy,EFTP,BUY,1,7287.2585837333,1.0068617827941157e-8
Banana,BANANA,BUY,35,4716402.666252575,0.00863556168133049
WAGMI GAMES,WAGMIGAMES,BUY,5,129979.60554523549,2.025633577469298e-9
REN,REN,BUY,1,39258.890379621844,4.5518775445139746e-7
Ethereum Scroll,ESCROLL,SELL,1,112965.06678584291,49957013.388781674
Liquid Agent,LIQUID,BUY,4,314471.68055948534,0.000004496365966409616
MOOD AI,MOOD,SELL,6,86417.85360691269,1473861.8124406363
Lithium,LITH,SELL,1,6923.618425769693,39682342.48696114
BitmapPunks,BMP,BUY,7,135618.42381389756,1.0327660134979498e-21
Treehouse ETH,tETH,SELL,59,14997712.356268175,0.9538474750879566
Stride,STRD,SELL,3,129482.64647160443,9126931241.404444
Synth sUSD,sUSD,BUY,106,6606751.101798415,0.9462240613901327
ENTREPARTICULIERS,ALENT,SELL,3,177220.68475555396,55214489.48777458
OpenEden Open Dollar,USDO,BUY,5,56920.52193380617,1.00039345210275
Happy Rico,RICO,BUY,4,3758966.554416109,7.562365003096082e-7
69PEPE,69PEPE,BUY,1,5442.72186825452,0.0005016570426685047
Tokenlon,LON,SELL,16,281346.47198762675,1975.3992546855693
MAGA,MAGA,SELL,7,136523.36191971443,220186418.4594815
AIBucket,AIBucket,BUY,1,62031.59470752104,2.858623860174897e-12
The Crypto Bear,TCB,BUY,2,72172.85909869873,4.230684047484904e-8
Girls Club by Matt Furie,GIRLS,SELL,1,82681.56181403859,16457609.47226911
DREAM,DREAM,SELL,1,10982.640625,50357.48748838451
TrueUSD,TUSD,SELL,6,86887.78736396405,1.369789057063589
BeethovenxToken,BEETS,BUY,32,1051559.2321690277,0.8539839468200047
uniBTC,uniBTC,SELL,41,2797877.2751549976,1.0102634993101962
Lylo.ai,LYLO,SELL,6,1198735.356737967,2408401.467312007
USDa,USDa,BUY,24,3136216.9541784907,0.9969507936608676
ERIC,ERIC,SELL,1,6565.781349750685,959696.2180756818
Enrique,ENRIQUE,BUY,1,9500.520301574044,1.1781842916999805e-11
PHARM,PHARM,BUY,16,474330.709839812,0.000006528596030137029
Orderly Network,ORDER,SELL,15,158499.1471692529,27923.834142403928
LEOX,LEOX,BUY,2,10567.823662224517,0.00002462546997333098
Brettwu,BRETTWU,SELL,1,14129.786079834115,29709654510811.887
Brown,BROWN,SELL,1,97929.64384861638,12315122.550569896
RuglessDP,RDP,BUY,1,9256.678945174273,1.8771698567495475e-8
Usual ETH,ETH0,SELL,1,12069.848059807122,0.9974299089464329
DevvE,DEVVE,BUY,19,668109.5424914474,0.00022540391955977045
fly.trade,FLY,SELL,1,60587.15614802248,25327525876.678394
Angry Matt,AMATT,BUY,2,1525546.6816615642,3.788511994809816e-7
Bruh,BRUH,BUY,2,72028.08517623319,2.3560357773230974e-7
Alchemix,ALCX,SELL,14,614140.8649856313,266.9871630435045
Infinaeon,INF,SELL,2,45376.07732702203,124.39244678802491
MAKE ETHEREUM GREAT AGAIN,MEGA,BUY,1,5290.816651855153,1.9581760272361076e-15
